feature,family,unique,std,zero_frac,gain_mean,gain_std,gain_frac_mean,gain_used_splits,split_count_mean,perm_lipid5_drop_mean,perm_lipid5_drop_std,perm_macro10_drop_mean,perm_binary_f1_drop_mean,mi_10class,mi_above_global95,mi_above_global99,mi_above_max95,mi_above_feature95,lgbm_stable_gain,perm_positive_1bp,perm_positive_5bp,any_supervised_signal
mean_loc_hyd_dens,v_sterol,3244,17.38448045156039,0.05880806886129181,26981.00631564021,1172.0629031358337,0.08130456020402219,25,853.92,0.08403240434117268,0.02150376068430507,0.06191789884159262,0.0984194919378181,0.2763551650569669,True,True,True,True,True,True,True,True
hydrophobicity_score,v_sterol,5230,22.69261500491191,0.002102634864314344,24112.303335107415,1489.847859904768,0.07266022598296865,25,1060.84,0.0685918158281705,0.02509841259960195,0.05541669805463791,0.0500063548641831,0.31529374496542606,True,True,True,True,True,True,True,True
volume_score,v_sterol,325,0.6115135727760693,0.0004599513765687627,15163.468383200616,577.922453649319,0.04569353510643971,25,958.28,0.024824231577535615,0.013121882748816233,0.016899521548465146,0.004705189714774493,0.14281290536125635,True,True,True,True,True,True,True,True
apol_as_prop,v_sterol,100,0.2532343473009952,0.028188448649714173,14141.46762355566,827.6689438662505,0.0426137986222663,25,644.0,0.04515742779495293,0.019889403064178416,0.030581015613356778,0.028601524424942813,0.14734331690192848,True,True,True,True,True,True,True,True
surf_vdw14,v_sterol,10397,118.17411510641034,0.006439319271962678,13325.68327308625,557.6952621889249,0.04015549507490846,25,1032.72,0.07093935829241367,0.014203215259732699,0.12005276026676752,0.11200915327529078,0.12943822810347516,True,True,True,True,True,True,True,True
prop_polar_atm,v_sterol,1413,11.982441265744383,0.003745318352059925,13103.276710888744,1049.5266329264648,0.0394853792086121,25,763.32,0.039923199789494726,0.017763985596262754,0.026929082100858915,0.021602096660133595,0.25106680505264145,True,True,True,True,True,True,True,True
mean_as_solv_acc,v_sterol,56,0.08340297682684512,0.0,10747.850306685268,420.95710115791803,0.03238750833521029,25,794.8,0.007377731743580829,0.007701065013137854,0.013530822876528448,0.0039254652850426505,0.07920631028496583,True,True,True,True,True,True,True,True
pock_vol,v_sterol,13810,540.8369279607585,0.0,10382.54517629385,371.3178167131756,0.03128676134205768,25,822.64,0.0643095761212655,0.01563385640740318,0.08836087941015294,0.07117488447096343,0.1667499923924951,True,True,True,True,True,True,True,True
LEU,v_sterol,24,1.8430993052890254,0.40015769761482356,8948.739108954966,1132.7791049088216,0.02696594734822848,25,449.4,0.05547679019677021,0.015415324470843369,0.03341319569036685,0.008037735780455035,0.14042977889496822,True,True,True,True,True,True,True,True
TRP,v_sterol,9,0.68252979414475,0.7884223667783692,8935.583349066079,613.8791444297167,0.026926528207938123,25,303.88,0.0044884716811457006,0.006738838819870083,0.025836426073969743,-0.001807733467948558,0.04911330839225636,True,True,True,True,True,True,False,True
