kind,C,mode,thr,int_f1,int_lipid5,fire,apo_pdb_f1,apo_pdb_auc,apo_pdb_fire,alphafold_f1,alphafold_auc,alphafold_fire,holdout_mean
compact,0.3,maxlegacy,0.9,0.8947896795112896,0.6583075911129602,0.028699080157687254,0.7559055118110236,0.791044776119403,0.1794871794871795,0.8070175438596491,0.8285335354300872,0.20134228187919462,0.7814615278353363
compact,1.0,maxlegacy,0.9,0.8946938505696005,0.6582759518337667,0.029724047306176084,0.7559055118110236,0.791044776119403,0.1794871794871795,0.8070175438596491,0.8285335354300872,0.20134228187919462,0.7814615278353363
rich,0.3,maxlegacy,0.9,0.8946032255531464,0.6580354707899448,0.02888304862023653,0.7559055118110236,0.791044776119403,0.1794871794871795,0.8070175438596491,0.8285335354300872,0.20134228187919462,0.7814615278353363
compact,0.1,maxlegacy,0.9,0.895076494963387,0.6583686995579696,0.02659658344283837,0.7596899224806203,0.7844776119402984,0.19658119658119658,0.7999999999999999,0.8277756726032588,0.20134228187919462,0.7798449612403101
compact,3.0,maxlegacy,0.9,0.8947836261306977,0.6583122070514174,0.030091984231274637,0.746031746031746,0.7838805970149254,0.1794871794871795,0.8117647058823529,0.8438802576733612,0.19463087248322147,0.7788982259570495
compact,10.0,maxlegacy,0.9,0.8947836261306977,0.6583122070514174,0.03040735873850197,0.746031746031746,0.7838805970149254,0.1794871794871795,0.8117647058823529,0.8438802576733612,0.19463087248322147,0.7788982259570495
compact,30.0,maxlegacy,0.9,0.8947836261306977,0.6583122070514174,0.030512483574244416,0.746031746031746,0.7838805970149254,0.1794871794871795,0.8117647058823529,0.8438802576733612,0.19463087248322147,0.7788982259570495
rich,1.0,maxlegacy,0.9,0.8949412204726168,0.6587618720279431,0.02967148488830486,0.746031746031746,0.7817910447761194,0.17094017094017094,0.804733727810651,0.8393330807123911,0.18791946308724833,0.7753827369211985
rich,3.0,maxlegacy,0.9,0.8949570965687772,0.6587819224506609,0.030249671484888305,0.746031746031746,0.7817910447761194,0.17094017094017094,0.804733727810651,0.8393330807123911,0.18791946308724833,0.7753827369211985
rich,10.0,maxlegacy,0.9,0.8949570965687772,0.6587819224506609,0.030617608409986858,0.746031746031746,0.7817910447761194,0.17094017094017094,0.804733727810651,0.8393330807123911,0.18791946308724833,0.7753827369211985
